location,crashes,avg_fatalities_per_crash,avg_damage_severity,geographic_risk_score
amsterdam-schiphol international airport (ams/eham),8,0.0,,
budapest ferenc liszt international airport (bud/lhbp),4,0.0,,
"fort lauderdale, florida",4,0.0,,
kenyam airstrip,4,0.0,,
"miami, florida",6,0.0,,
nassau-lynden pindling international airport (nas/mynn),4,0.0,,
"near denver, co",4,0.0,,
"new orleans, louisiana",4,0.0,,
paris-charles de gaulle airport (cdg/lfpg),4,0.0,,
"phoenix-sky harbor international airport, az (phx/kphx)",4,0.0,,
"seattle/tacoma international airport, wa (sea/ksea)",4,0.0,,
